Video,User,Threshold,Number of changes
4,6,0.5,17
4,7,0.5,23
4,8,0.5,11
4,9,0.5,12
4,10,1,1
4,11,1,7
4,12,1,0
4,13,1,0
4,14,1,11
4,15,1,1
4,16,1,0
4,17,1,8
4,18,1,0
4,19,1,31
4,1,1,5
4,20,1,10
4,21,1,0
4,22,1,6
4,23,1,5
4,24,1,0
4,25,1,2
4,26,1,6
4,27,1,0
4,28,1,0
4,29,1,2
4,2,1,6
4,30,1,9
4,3,1,13
4,4,1,12
4,5,1,10
4,6,1,10
4,7,1,13
4,8,1,1
4,9,1,5
4,10,1.5,1
4,11,1.5,3
4,12,1.5,0
4,13,1.5,0
4,14,1.5,9
4,15,1.5,1
4,16,1.5,0
4,17,1.5,5
4,18,1.5,0
4,19,1.5,29
4,1,1.5,3
4,20,1.5,6
4,21,1.5,0
4,22,1.5,3
4,23,1.5,2
4,24,1.5,0
4,25,1.5,0
4,26,1.5,4
4,27,1.5,0
4,28,1.5,0
4,29,1.5,0
4,2,1.5,4
4,30,1.5,6
4,3,1.5,5
4,4,1.5,6
4,5,1.5,5
4,6,1.5,6
4,7,1.5,8
4,8,1.5,0
4,9,1.5,4
5,10,0.5,17
5,11,0.5,8
5,12,0.5,6
5,13,0.5,4
5,14,0.5,12
5,15,0.5,12
5,16,0.5,4
5,17,0.5,7
5,18,0.5,8
5,19,0.5,26
5,1,0.5,7
5,20,0.5,27
5,21,0.5,1
5,22,0.5,11
5,23,0.5,13
5,24,0.5,4
5,25,0.5,19
5,26,0.5,12
5,27,0.5,5
5,28,0.5,12
5,29,0.5,8
5,2,0.5,9
5,30,0.5,15
5,3,0.5,15
5,4,0.5,15
5,5,0.5,16
5,6,0.5,7
5,7,0.5,5
5,8,0.5,16
5,9,0.5,18
5,10,1,7
5,11,1,6
5,12,1,1
5,13,1,1
5,14,1,7
5,15,1,4
5,16,1,1
5,17,1,1
5,18,1,5
5,19,1,23
5,1,1,5
5,20,1,21
5,21,1,1
5,22,1,4
5,23,1,8
5,24,1,0
5,25,1,4
5,26,1,8
5,27,1,1
5,28,1,6
5,29,1,3
5,2,1,4
5,30,1,9
5,3,1,8
5,4,1,10
5,5,1,8
5,6,1,3
5,7,1,2
5,8,1,5
5,9,1,13
5,10,1.5,6
5,11,1.5,5
5,12,1.5,1
5,13,1.5,0
5,14,1.5,3
5,15,1.5,3
5,16,1.5,0
5,17,1.5,0
5,18,1.5,4
5,19,1.5,18
5,1,1.5,2
5,20,1.5,16
5,21,1.5,1
5,22,1.5,3
5,23,1.5,5
5,24,1.5,0
5,25,1.5,0
5,26,1.5,6
5,27,1.5,0
5,28,1.5,1
5,29,1.5,0
5,2,1.5,3
5,30,1.5,6
5,3,1.5,7
5,4,1.5,9
5,5,1.5,1
5,6,1.5,1
5,7,1.5,0
5,8,1.5,3
5,9,1.5,10
6,10,0.5,6
6,11,0.5,6
6,12,0.5,5
6,13,0.5,6
6,14,0.5,11
6,15,0.5,9
6,16,0.5,4
6,17,0.5,3
6,18,0.5,3
6,19,0.5,5
6,1,0.5,11
6,20,0.5,25
6,21,0.5,4
6,22,0.5,15
6,23,0.5,9
6,24,0.5,11
6,25,0.5,5
6,26,0.5,11
6,27,0.5,12
6,28,0.5,8
6,29,0.5,11
6,2,0.5,19
6,30,0.5,12
6,3,0.5,18
6,4,0.5,15
6,5,0.5,17
6,6,0.5,17
6,7,0.5,28
6,8,0.5,20
6,9,0.5,12
6,10,1,0
6,11,1,4
6,12,1,1
6,13,1,2
6,14,1,6
6,15,1,3
6,16,1,0
6,17,1,2
6,18,1,2
6,19,1,2
6,1,1,1
6,20,1,22
6,21,1,2
6,22,1,4
6,23,1,4
6,24,1,3
6,25,1,2
6,26,1,6
6,27,1,1
6,28,1,1
6,29,1,6
6,2,1,13
6,30,1,4
6,3,1,7
6,4,1,9
6,5,1,9
6,6,1,10
6,7,1,27
6,8,1,13
6,9,1,4
6,10,1.5,0
6,11,1.5,3
6,12,1.5,0
6,13,1.5,2
6,14,1.5,5
6,15,1.5,2
6,16,1.5,0
6,17,1.5,2
6,18,1.5,2
6,19,1.5,0
6,1,1.5,0
6,20,1.5,15
6,21,1.5,0
6,22,1.5,2
6,23,1.5,3
6,24,1.5,0
6,25,1.5,1
6,26,1.5,5
6,27,1.5,1
6,28,1.5,1
6,29,1.5,5
6,2,1.5,6
6,30,1.5,2
6,3,1.5,4
6,4,1.5,7
6,5,1.5,4
6,6,1.5,8
6,7,1.5,21
6,8,1.5,7
6,9,1.5,3
7,10,0.5,12
7,11,0.5,20
7,12,0.5,25
7,13,0.5,24
7,14,0.5,20
7,15,0.5,25
7,16,0.5,16
7,17,0.5,11
7,18,0.5,25
7,19,0.5,27
7,1,0.5,21
7,20,0.5,34
7,21,0.5,9
7,22,0.5,19
7,23,0.5,25
7,24,0.5,13
7,25,0.5,15
7,26,0.5,24
7,27,0.5,21
7,28,0.5,20
7,29,0.5,32
7,2,0.5,26
7,30,0.5,32
7,3,0.5,29
7,4,0.5,37
7,5,0.5,34
7,6,0.5,17
7,7,0.5,34
7,8,0.5,23
7,9,0.5,30
7,10,1,4
7,11,1,17
7,12,1,19
7,13,1,16
7,14,1,14
7,15,1,19
7,16,1,12
7,17,1,6
7,18,1,19
7,19,1,18
7,1,1,16
7,20,1,32
7,21,1,3
7,22,1,11
7,23,1,15
7,24,1,7
7,25,1,9
7,26,1,18
7,27,1,16
7,28,1,10
7,29,1,25
7,2,1,18
7,30,1,27
7,3,1,21
7,4,1,30
7,5,1,25
7,6,1,9
7,7,1,20
7,8,1,16
7,9,1,18
7,10,1.5,2
7,11,1.5,9
7,12,1.5,12
7,13,1.5,11
7,14,1.5,10
7,15,1.5,15
7,16,1.5,7
7,17,1.5,4
7,18,1.5,14
7,19,1.5,16
7,1,1.5,14
7,20,1.5,22
7,21,1.5,2
7,22,1.5,9
7,23,1.5,11
7,24,1.5,6
7,25,1.5,9
7,26,1.5,14
7,27,1.5,13
7,28,1.5,6
7,29,1.5,16
7,2,1.5,12
7,30,1.5,21
7,3,1.5,17
7,4,1.5,28
7,5,1.5,23
7,6,1.5,5
7,7,1.5,14
7,8,1.5,15
7,9,1.5,15
8,10,0.5,10
8,11,0.5,4
8,12,0.5,17
8,13,0.5,16
8,14,0.5,14
8,15,0.5,14
8,16,0.5,5
8,17,0.5,18
8,18,0.5,9
8,19,0.5,21
8,1,0.5,8
8,20,0.5,23
8,21,0.5,1
8,22,0.5,15
8,23,0.5,8
8,24,0.5,12
8,25,0.5,8
8,26,0.5,18
8,27,0.5,15
8,28,0.5,12
8,29,0.5,21
8,2,0.5,27
8,30,0.5,11
8,3,0.5,19
8,4,0.5,18
8,5,0.5,24
8,6,0.5,16
8,7,0.5,23
8,8,0.5,13
8,9,0.5,11
8,10,1,6
8,11,1,2
8,12,1,9
8,13,1,9
8,14,1,10
8,15,1,9
8,16,1,3
8,17,1,6
8,18,1,7
8,19,1,10
8,1,1,5
8,20,1,16
8,21,1,0
8,22,1,10
8,23,1,5
8,24,1,7
8,25,1,4
8,26,1,15
8,27,1,9
8,28,1,2
8,29,1,16
8,2,1,22
8,30,1,6
8,3,1,14
8,4,1,12
8,5,1,21
8,6,1,12
8,7,1,18
8,8,1,10
8,9,1,4
8,10,1.5,5
8,11,1.5,0
8,12,1.5,5
8,13,1.5,6
8,14,1.5,7
8,15,1.5,9
8,16,1.5,2
8,17,1.5,2
8,18,1.5,6
8,19,1.5,7
8,1,1.5,2
8,20,1.5,8
8,21,1.5,0
8,22,1.5,6
8,23,1.5,3
8,24,1.5,5
8,25,1.5,3
8,26,1.5,12
8,27,1.5,8
8,28,1.5,1
8,29,1.5,14
8,2,1.5,18
8,30,1.5,5
8,3,1.5,13
8,4,1.5,8
8,5,1.5,15
8,6,1.5,10
8,7,1.5,14
8,8,1.5,6
8,9,1.5,4
